Source File	Size	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/contentig.json	4539	0	0	0	0	0	0	9	79	0	0	0	0	0	0	0	0	0	0	64	39	0	0	0	4	0	2
/input/resources/library/PSARecommendation.json	122973	0	0	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	277	35	0	0	0	13	0	0
/input/resources/plandefinition/PSARecommendation.json	1894	1	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0
/input/examples/patient/psa-female.json	368	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
